Dates,GDP,UMCSENT,CPIAUCSL
2013-07-31,0.0305780603699,0.0,0.0
2013-08-15,0.0,0.0,0.00413587712012
2013-08-29,0.00207413998341,0.0,0.0
2013-08-30,0.0,-0.0352526439483,0.0
2013-09-17,0.0,0.0,0.00333836020778
2013-09-26,-0.000413969366267,0.0,0.0
2013-09-27,0.0,-0.0560292326431,0.0
2013-10-25,0.0,-0.0554838709677,0.0
2013-10-30,0.0,0.0,0.0029925101501
2013-11-07,0.0200159740543,0.0,0.0
2013-11-20,0.0,0.0,0.000710488696382
2013-11-27,0.0,0.025956284153,0.0
2013-12-05,0.00196943811693,0.0,0.0
2013-12-17,0.0,0.0,0.000376391686876
2013-12-20,0.00130840457527,0.0,0.0
2013-12-23,0.0,0.098535286285,0.0
2014-01-16,0.0,0.0,0.001588318176
2014-01-30,0.0224181736661,0.0,0.0
2014-01-31,0.0,-0.0157575757576,0.0
2014-02-18,0.0,0.0,-0.000140609975144
2014-02-20,0.0,0.0,0.00036619586369
2014-02-28,-0.00127466744628,0.00492610837438,0.0
2014-03-18,0.0,0.0,-0.00113406615811
2014-03-27,0.000521055928621,0.0,0.0
2014-03-28,0.0,-0.0196078431373,0.0
2014-04-15,0.0,0.0,8.06379736948e-05
2014-04-25,0.0,0.05125,0.0
2014-04-30,0.0113223569373,0.0,0.0
2014-05-15,0.0,0.0,0.00151337236167
2014-05-29,-0.00281639221906,0.0,0.0
2014-05-30,0.0,-0.026159334126,0.0
2014-06-17,0.0,0.0,0.00248631049282
2014-06-25,-0.0049879248946,0.0,0.0
2014-06-27,0.0,0.00732600732601,0.0
2014-07-22,0.0,0.0,0.0037583983311
2014-07-30,-0.00530495711151,0.0,0.0
2014-08-01,0.0,-0.00848484848485,0.0
2014-08-19,0.0,0.0,0.00376767813143
2014-08-28,0.000959831624717,0.0,0.0
2014-08-29,0.0,0.00855745721271,0.0
2014-09-17,0.0,0.0,0.000712301746193
2014-09-26,0.000976240952442,0.0254545454545,0.0
2014-10-22,0.0,0.0,0.00198175938068
2014-10-30,0.0153676896352,0.0,0.0
2014-10-31,0.0,0.0271867612293,0.0
2014-11-20,0.0,0.0,0.000555766073008
2014-11-25,0.00112914447347,0.0,0.0
2014-11-26,0.0,0.0218642117376,0.0
2014-12-17,0.0,0.0,-0.00260465977421
2014-12-23,0.00254055778345,0.0540540540541,0.0
2015-01-16,0.0,0.0,-0.00468682168582
2015-01-30,0.0107635500311,0.0480769230769,0.0
2015-02-20,0.0,0.0,-0.00145145208315
2015-02-26,0.0,0.0,-0.00755717572231
2015-02-27,-0.000530752595888,-0.0275229357798,0.0
2015-03-24,0.0,0.0,0.0009874273262
2015-03-27,0.000135583262246,-0.0251572327044,0.0
2015-04-17,0.0,0.0,0.00138054074719
2015-04-29,0.00534176510993,0.0,0.0
2015-05-01,0.0,0.0311827956989,0.0
2015-05-22,0.0,0.0,0.000521498013644
2015-05-29,-0.00254093732355,-0.0542231491137,0.0
2015-06-18,0.0,0.0,0.00353095085882
2015-06-24,0.00160203792811,0.0,0.0
2015-06-26,0.0,0.0595369349504,0.0
